"Metric","Social_Media","Movies","Music"
"Sample Size","1500","1500","1500"
"Emotional Intensity (Mean)","0","0","0"
"Emotional Intensity (SD)","1","1","1"
"Satisfaction Rate (%)","49.3%","49.4%","67%"
"Odds Ratio (OR)","1.043","1.115","1.731"
"OR 95% CI Lower","0.942","1.007","1.546"
"OR 95% CI Upper","1.154","1.235","1.942"
"OR p-value","0.4171","0.0362","0"
"T-test p-value","0.5189","0.071","0"
"Cohen's d","0.045","0.093","0.421"
"Regression p-value","0.4171","0.0362","0"
"Supports Hypothesis?","NO","YES","YES"
